"registration_date,""stolen_date"",""brand"",""model"",""province"""
"2011-05-27,""2017-01-19"",""HONDA"",""WW125EX2"",""M"""
"2004-12-16,""2017-01-19"",""HONDA"",""SH150"",""B"""
"2006-11-22,""2017-01-19"",""YAMAHA"",""YZF'R6"",""M"""
"2006-10-04,""2017-01-19"",""GAS-GAS"",""ENDUCROSS"",""M"""
"2007-07-17,""2017-01-19"",""APRILIA"",""SPORT CITY 125"",""B"""
"2012-06-15,""2017-01-19"",""HONDA"",""SH125"",""B"""
"2008-05-15,""2017-01-19"",""KYMCO"",""PEOPLE 125"",""B"""
"2016-02-02,""2017-01-19"",""APRILIA"",""SRV 850 ABS"",""B"""
"1987-01-02,""2017-01-19"",""VESPA"",""PK 75 ELESTART"",""GI"""
"2012-09-24,""2017-01-19"",""SUZUKI"",""UH 125"",""PO"""
"2012-07-11,""2017-01-19"",""SUZUKI"",""AN400"",""B"""
"2010-05-18,""2017-01-19"",""HONDA"",""PES125"",""B"""
"2004-07-07,""2017-01-19"",""HONDA"",""SH125"",""B"""
"1992-03-12,""2017-01-19"",""YAMAHA"",""FZR 1000"",""M"""
"2007-05-18,""2017-01-19"",""YAMAHA"",""XC125"",""IB"""
"2012-08-27,""2017-01-20"",""S.Y.M"",""SYMPHONY 125 S"",""B"""
"2008-07-08,""2017-01-20"",""YIBEN"",""YB125TÑ2"",""J"""
"2014-03-06,""2017-01-20"",""S.Y.M"",""SYMPGONY SR"",""B"""
"2010-05-17,""2017-01-20"",""SUZUKI"",""SFV650"",""M"""
"2007-08-10,""2017-01-20"",""MONKEY BIKES"",""MB 110 D"",""GC"""
"2014-12-30,""2017-01-20"",""SUZUKI"",""AN400A"",""M"""
"2010-04-20,""2017-01-20"",""KAWASAKI"",""Z750"",""B"""
"2010-08-31,""2017-01-20"",""HONDA"",""SH125"",""MA"""
"2012-06-04,""2017-01-20"",""KYMCO"",""SUPER DINK 125"",""SE"""
"2014-01-29,""2017-01-20"",""KAWASAKI"",""Z800"",""B"""
"2006-09-06,""2017-01-20"",""YAMAHA"",""NXC125"",""SE"""
"2011-02-11,""2017-01-20"",""DAELIM"",""SL125U"",""B"""
"2003-10-01,""2017-01-20"",""APRILIA"",""ARRECIFE 200"",""MU"""
"2008-07-25,""2017-01-20"",""YAMAHA"",""XC125"",""H"""
"2016-05-25,""2017-01-20"",""BMW"",""S 1000 RR"",""M"""
"2009-01-21,""2017-01-20"",""DAELIM"",""BESBI"",""V"""
"2013-10-24,""2017-01-20"",""YAMAHA"",""YP125R"",""SS"""
"2011-03-30,""2017-01-20"",""HONDA"",""WW125EX2"",""M"""
"1998-06-15,""2017-01-21"",""YAMAHA"",""SR250"",""B"""
"2006-08-08,""2017-01-21"",""DAELIM"",""SQ125"",""V"""
"2007-10-02,""2017-01-21"",""SUZUKI"",""GSX R 600"",""CA"""
"2016-07-26,""2017-01-21"",""YAMAHA"",""XP500"",""B"""
"2014-04-24,""2017-01-21"",""YAMAHA"",""MT-07"",""M"""
"1992-08-05,""2017-01-21"",""HONDA"",""CBR 600 F"",""SE"""
"2011-03-09,""2017-01-21"",""YAMAHA"",""YP125R"",""SE"""
"2008-08-04,""2017-01-21"",""HONDA"",""SH125"",""B"""
"2010-04-14,""2017-01-21"",""HONDA"",""FES125"",""CA"""
"2016-11-18,""2017-01-21"",""HONDA"",""SH125AD"",""B"""
"2015-11-16,""2017-01-21"",""HONDA"",""SH125AD"",""B"""
"2011-01-17,""2017-01-21"",""HONDA"",""NHX110WH"",""CA"""
"2005-08-12,""2017-01-21"",""HONDA"",""SES125"",""MA"""
"2001-10-08,""2017-01-21"",""HONDA"",""SH150"",""B"""
"2013-05-03,""2017-01-21"",""S.Y.M"",""SYMPHONY 125S"",""V"""
